X,Y,Name,description,address,artist,class,classifica,contactage,contactpho,date_made,descriptio,dimensions,general_no,gis_editor,gis_id,in_row,link_1,link_2,link_3,location,locator,mat_1,materials,park_name,pic_1,pic_2,pic_3,pma,pubart_row,reserved_i,reserved_t,sac_id,subtype,title,x_coord,y_coord
,,,,2nd Ave between Blanchard St & Bell St,"Kiefer, Kurt H.",,"2 insets, 1 brackets/light fixture/2 clocks on pol",Seattle Office of Arts & Cultural Affairs,206-684-7171,1994-96,"2 faux plank insets in sidewalk, 1 brackets with light fixture and 2 clocks on light pole",,,SDOT,242,Y,,,,"West side of 2nd Ave, parking lot just northwest of 2219",,Faux plank insets:  tinted concrete,Faux plank insets:  tinted concrete,,,,,0,,0,,ED96.030,,Street Treatment,1267585.7357908,227504.72796503
,,,,OCCIDENTAL AVE S AND S JACKSON ST,"Fitch, Claudia",,,,,2013,2 Poles,,,SDOT,0,Y,,,,"Near 2nd Ave S. and S. Jackson St.  Seattle, WA  98104",,,,,,,,0,,0,,ST13.068.05,,Beaded Poles,0,0
,,,,2nd Ave between Bell St & Battery St,"Kiefer, Kurt H.",,5 insets,Seattle Office of Arts & Cultural Affairs,206-684-7171,1994-96,5 faux plank insets in sidewalk,,,SDOT,246,Y,,,,East side of 2nd Ave just southeast of 2312,,Faux plank insets:  tinted concrete,Faux plank insets:  tinted concrete,,,,,0,,0,,ED96.030,,Street Treatment,1267269.52708648,227790.16342132
,,,,Franklin Ave E & E Roanoke St,"Levy, Stacy",,1 inset,Seattle Office of Arts & Cultural Affairs,206-684-7171,1997,"One 24"" x 24"" x 2"" stone and glass tile inset in the sidewalk intersection.  Stone center sandblasted with image of microorganism.  Glass part of tile cast with name of the particular intersection.",,,SDOT,272,Y,,,,SW corner,,Cast glass tiles and WA State Wilkensen Sandstone,Cast glass tiles and WA State Wilkensen Sandstone,,,,,0,,0,,ED98.025a-ff (S,,Cornerstones,1272819.20517213,238177.72663191
,,,,Eastlake Ave E & E Martin St,"Levy, Stacy",,1 inset,Seattle Office of Arts & Cultural Affairs,206-684-7171,1997,"One 24"" x 24"" x 2"" stone and glass tile inset in the sidewalk intersection.  Stone center sandblasted with image of microorganism.  Glass part of tile cast with name of the particular intersection.",,,SDOT,283,Y,,,,SE corner,,Cast glass tiles and WA State Wilkensen Sandstone,Cast glass tiles and WA State Wilkensen Sandstone,,,,,0,,0,,ED98.025a-ff (S,,Cornerstones,1273495,240839
,,,,"16th Ave E & E Aloha St.  Seattle, WA  98112 (southwest side of intersection)","Greening, Charles",,Mosaic inlay,Seattle Office of Arts & Cultural Affairs,206-684-7171,1987,2-dimensional mosaic inlay in pavement,"2""x5'5""x15'",,SDOT,314,Y,,,,Southwest corner in pavement,,"Concrete, bronze, misc bits: ceramic, seashells, beads, etc.","Concrete, bronze, misc bits: ceramic, seashells, beads, etc.",,,,,0,,0,,GCK87.089,,Tulip Tree Mosaic,1275993.00203938,232163.19760176
,,,,Alaskan Way & Pine St,"Kruger, Barbara",,Design on fence,Seattle Office of Arts & Cultural Affairs,206-684-7171,1991,Text painted on the fence at Piers 62/63,,In the ROW?,SDOT,322,Y,,,,Piers 62/63,,"Galvanized steel, acrylic enamel paint on galvanized chain-link fence","Galvanized steel, acrylic enamel paint on galvanized chain-link fence",,,,,0,,0,,PR91.013,,Piers 62/63,1267823.65649502,225645.60373908
,,,,2715 1st Ave,"Mackie, Jack; Simpson, Lewis ""Buster""",,3 keystones,Seattle Office of Arts & Cultural Affairs,206-684-7171,1985-1991,"3 ""keystones""",,,SDOT,201,Y,,,,West side of 1st Ave,,,,,,,,0,,0,,CL86.045,,Street Treatment,1266159.73073664,228326.28791482
,,,,2302 1st Ave,"Mackie, Jack; Simpson, Lewis ""Buster""",,"1 bench, 1 inset",Seattle Office of Arts & Cultural Affairs,206-684-7171,1985-1991,"1 ""stoop"" bench and 1 ""welcome mat"" inset in sidewalk",,,SDOT,205,Y,,,,East side near 2302 1st Ave,,,,,,,,0,,0,,CL86.045,,Street Treatment,1267216.13298413,227446.10574055
,,,,Alki Ave SW & 56th Ave SW,"Feddersen, Joe; Fels, Donald; Smith, Jaune Quick-To-See",,"Pavers; bronze inset",Seattle Office of Arts & Cultural Affairs,206-684-7171,1996-97,"Pavers consisting of sandblasted text and images, bronze inset in concrete on promenade",,In the ROW?,SDOT,323,Y,,,,Near benches,,,,,,,,0,,0,,PR97.004,,Untitled,1252809.03887964,216183.44180939
,,,,Alki Ave SW & 64th Ave SW,"Feddersen, Joe; Fels, Donald; Smith, Jaune Quick-To-See",,"Bronze inset; pavers",Seattle Office of Arts & Cultural Affairs,206-684-7171,1996-97,"bronze inset embedded in sidewalk; pavers consisting of sandblasted text and images embedded in concrete",,In the ROW?,SDOT,328,Y,,,,Near 64th and Alki,,,,,,,,0,,0,,PR97.004,,Untitled,1250157.37679693,214845.68206402
,,,,Westlake Shore Roadway Ave N & Blaine St,"Smith, Maggie",,"Guardrail, sidewalk insets",Seattle Office of Arts & Cultural Affairs,206-684-7171,2004,"Artist-designed pedestrian wood leaning guardrail with etched cover plates along pathway, sidewalk insets with colored concrete and bronze words",,,SDOT,409,Y,,,,On Lake Union Trail Blaine St Street End viewpoint,,,,,,,,0,,0,,ST04.095,,Spur Line,1268963.65470418,235138.4219248
,,,,Westlake East Roadway Ave N & Halladay St,"Smith, Maggie",,"Guardrail, benches, sculpture",Seattle Office of Arts & Cultural Affairs,206-684-7171,2004,"Galvanized steel ""listening tube"" sculpture, artist-designed pedestrian wood leaning guardrail with etched cover plates at sides of viewpoint and pathway at Waterway No. 1; 5  artist-designed wood benches",,,SDOT,418,Y,,,,Lake Union Trail (Waterway No. 1) viewpoint and along trail,,,,,,,,0,,0,,ST04.095,,Spur Line,1268241,237943
,,,,5th Ave & Denny Way,"Wehn, James",,"1 sculpture, boulders in fountain basin",,,1912,"1 statue of Chief Seattle, boulders in fountain basin",Life-sized statue of Chief Seattle,No GIS # was assigned,SDOT,0,Y,,,,Tilikum Place,,,"Cast, gilded bronze, granite",,,,,0,,0,,ED75.110,,Chief Seattle,0,0
,,,,11TH AVE NE AND NE 135TH S ST,"Cooning, Celeste",,,,,2013,"A sculpture in the form of a plant that transforms the artist's signature cut paper aesthetic into an overhead arch, functioning as a threshold for Jackson Park Perimeter Trail.",,,SDOT,0,N,,,,"Jackson Park Perimeter Trail at the trailhead crossing east of NE 135th St & 11th Ave NE  Seattle, WA  98125",,,,,,,,0,N,0,,PR13.064,,Bounty,0,0
,,,,FAIRVIEW AVE E AND FAIRVIEW AVE N,"Law, Carolyn",,,,,2013,"A sculpture comprised of two recycled utility poles which support seven mast-like components, which were re-used from a sculpture created by the artist in the 1990s for the Route 70 trolley that had to be de-install",,,SDOT,0,Y,,,,"Intersection of Fairview Avenue North and Fairview Avenue East   Seattle, WA  98109",,,,,,,,0,,0,,ST13.011,,By Water On Land,0,0
,,,,FAIRVIEW AVE N AND VALLEY ST,"Sollod, Ellen",,,,,2013,Seven foot diameter sidewalk inserts. Silouette of woman on south Corner and man on north corner with punctuated thought bubbles,,Point at location of woman sillouette north corner of valley opposite has silloutte of man,SDOT,0,Y,,,,Valley St and Fairview Ave N,,,,,,,,0,,0,,ST14.005,,Lost in Thought,0,0
,,,,301 3RD AVE,"Fernandes, Roger",,,,,2012,a. 4’x9’x4” carved and painted cedar panels display the story of Snoqual and create a gateway to the Thomas St. pedestrian bridge. b. Four bronze sidewalk inlays of a basket weave pattern illustrate salmon gil,,,SDOT,0,Y,,,,"Thomas Street and Third Avenue West at the east entrance to the Thomas St. Bridge on Elliott Avenue West  Seattle, WA  98109",,,,,,,,0,,0,,ST12.037a-b,,Snoqual / Moon the Transformer,0,0
,,,,524 S JACKSON ST,"Fitch, Claudia",,,,,2013,"1 Pole. Near 6th Ave. S & S. Jackson St  Seattle, WA  98104",,,SDOT,0,Y,,,,,,,,,,,,0,,0,,ST13.068.02,,Beaded Poles,0,0
,,,,1100 SW Cloverdale St,Leo Berk,,Installation,Seattle Office of Arts & Cultural Affairs,206-684-7171,2013,"Hand carved Corian providing a Tudor style relief finish on 12 windows and doors at a park building on the site of Highland Park.  In addition the artist handcarved a sign for the building with the name ""HIGHLAND PA",,,SIT,0,N,,,,"Highland Park   1100 SW Cloverdale St  Seattle, WA  98106",,,"Corian solid surface sheet, MDO plywood substrate, steel hardware",Highland Park,,,,0,,0,,PR15.001,,A Work in Progress,0,0
,,,,Alki Ave SW & 64th Ave S,"Feddersen, Joe; Fels, Donald; Smith, Jaune Quick-To-See",,Plaques/medallions on concrete bollards,Seattle Office of Arts & Cultural Affairs,206-684-7171,1997,Bronze plaques and medallions on concrete bollards which borders stairs down to the water at the sandy beach area,,In the ROW?,SDOT,335,N,,,,Near 64th and Alki by stairs down to the water at the sandy beach area,,,,,,,,0,,0,,PR99.045,,Bronze Plaques and Medallions,1250157.37679693,214845.68206402
,,,,SW Barton St & 29th Ave SW,"de Lory, Peter",,1 signpost with sign images of flora,Seattle Office of Arts & Cultural Affairs,206-684-7171,2004,1 signpost with sign images of flora,,,SDOT,397,Y,,,,Located within Roxhill Park,,"Steel, porcelain enamel","Steel, porcelain enamel",,,,,0,,0,,SPU05.024,,Longfellow Creek Legacy Trail Way Finding Signs,1260754.66090378,193850.48895452
,,,,"Beacon Ave S between S Spokane Street & S Alaska St  Seattle, WA  98144","Wiegman, Clark",,2 sculptures,Seattle Office of Arts & Cultural Affairs,206-684-7171,2000,"""Pylon"" is vertical slightly larger than life scrim which appears as an open book; ""Plynth"" is a horizontal artwork.",".01 Plynth:  42"" x 132"" x 18""           .02 Pylon: 84"" x 24"" x 24""",,SDOT,405,Y,,,,"1 sculpture ""Pylon"" on traffic island at entry to community center parking area; 1 ""Plinth""  on traffic island at Beacon and Cheasty",,Stainless steel,Stainless steel,,,,,0,,0,,ST01.018.01-.02,,"Plynth and Pylon from the Project ""Vista""",1276401.25919183,211924.54772507
,,,,"2059 Alki Ave SW  Seattle, WA  98116  (in area of old Luna Park)","Feddersen, Joe; Fels, Donald; Smith, Jaune Quick-To-See",,Paver insets in concrete,Seattle Office of Arts & Cultural Affairs,206-684-7171,1998 WORK REFAB,Blue stone paver insets in a concrete circle flanking an anchor at Luna Park,,In the ROW?,SDOT,334,Y,,,,Luna Park at Alki Way SW,,,,,,,,0,,0,,PR99.042,,Inset-Anchor (Park on Alki),1254330.56256881,217807.02821175
,,,,"Ballard Ave NW & 20th Ave NW  Seattle, WA  98107","Ferrell, Jack",,Inlays in sidewalk,Seattle Office of Arts & Cultural Affairs,206-684-7171,1978,Ceramic tiles in sidewalk create illusion of looking down into stream of catfish,"24.5x18""",,SDOT,175,Y,,,,,,"Ceramic tile, stoneware","Ceramic tile, stoneware",,,,,0,,0,,CL78.100,,Catfish,1258809.97610179,246596.08388853
,,,,2311 2nd Ave,"Kiefer, Kurt H.",,1 brackets/light fixture on pole,Seattle Office of Arts & Cultural Affairs,206-684-7171,1994-96,1 brackets with light fixture on light pole,,,SDOT,238,Y,,,,,,,,,,,,0,,0,,ED96.030,,Street Treatment,1267368.20779683,227661.49805743
,,,,2208 2nd Ave,"Kiefer, Kurt H.",,"5 insets, 1 brackets with light fixture on light p",Seattle Office of Arts & Cultural Affairs,206-684-7171,1994-96,"5 faux plank insets in sidewalk, 1 brackets with light fixture on light pole",,,SDOT,248,Y,,,,,,Faux plank insets:  tinted concrete,Faux plank insets:  tinted concrete,,,,,0,,0,,ED96.030,,Street Treatment,1267729.84069764,227414.21789138
,,,,2124 2nd Ave,"Kiefer, Kurt H.",,1 brackets/light fixture on pole,Seattle Office of Arts & Cultural Affairs,206-684-7171,1994-96,1 brackets with light fixture on light pole,,,SDOT,256,Y,,,,,,,,,,,,0,,0,,ED96.030,,Street Treatment,1267996.72114275,227171.40440803
,,,,2618 2nd Ave,"Kiefer, Kurt H.",,1 brackets/light fixture on pole,Seattle Office of Arts & Cultural Affairs,206-684-7171,1994-96,1 brackets with light fixture on light pole,,,SDOT,263,Y,,,,,,,,,,,,0,,0,,ED96.030,,Street Treatment,1266634.3829684,228410.89118401
,,,,Eastlake Ave E & E Lynn St,"Levy, Stacy",,4 insets,Seattle Office of Arts & Cultural Affairs,206-684-7171,1997,"Four 24"" x 24"" x 2"" stone and glass tile insets in the sidewalk intersection.  Stone center sandblasted with image of microorganism.  Glass part of tile cast with name of the particular intersection.",,,SDOT,285,Y,,,,"NE, NW, SE, SW corners",,Cast glass tiles and WA State Wilkensen Sandstone,Cast glass tiles and WA State Wilkensen Sandstone,,,,,0,,0,,ED98.025a-ff (S,,Cornerstones,1272483.26328379,236920.92048663
,,,,"Western Ave & Bell Street  Seattle, WA  98121  (next to North 99 on ramp)","Corson, Dan",,Sculptures,Seattle Office of Arts & Cultural Affairs,206-684-7171,2002,Sculptures in the form of foam waves covered with pea gravel and lit with colored lighting.,10' x 50' x 150',Long-term temporary sculptures (will be removed when the viaduct comes down.),SDOT,351,Y,,,,Directly under the viaduct,,"Foam, cement, pea gravel and specialized lighting","Foam, cement, pea gravel and specialized lighting",,,,,0,,0,,SAC04.088,,Wave Rave Cave,1266994.75639817,227171.53807664
,,,,14th Ave S between S Donovan St & S Cloverdale St,"Fields, Gregory",,Sidewalk insets,Seattle Office of Arts & Cultural Affairs,206-684-7171,2009,"Inset strips of 6"" square handcarved tile inset in the sidewalk on both sides of the street.","Sidewalk tiles: 7.25"" x 38-83""",,SDOT,427,Y,,,,Both sides of the street,,Glazed ceramic tile,Glazed ceramic tile,,,,,0,,0,,ST09.099,,Convergence,1274389.74174978,195398.69644414
,,,,14th Ave S between S Henderson St & S Concord St,"Fields, Gregory",,Sidewalk insets,Seattle Office of Arts & Cultural Affairs,206-684-7171,2009,"Inset strips of 6"" square handcarved tile inset in the sidewalk on both sides of the street.","Sidewalk tiles: 7.25"" x 38-83""",,SDOT,430,Y,,,,Both sides of the street,,Glazed ceramic tile,Glazed ceramic tile,,,,,0,,0,,ST09.099,,Convergence,1274361.08037375,194469.16453919
,,,,"Maynard Ave S between S Jackson St & S King St.  Seattle, WA  98104","Tsutakawa, George",,1 sculpture,Seattle Office of Arts & Cultural Affairs,206-684-7171,1978,1 vertical abstract sculpture with a black patina and mounted on a cylinder of concrete and lighted.,14x4x4',,SDOT,216,Y,,,,On east side of Maynard Ave S close to S Jackson St,,Bronze,Bronze,,,,,0,,0,,ED79.031,,"Heaven, Man, Earth",1272399.39845173,221980.52277537
,,,,42ND AVE S AND S GRAHAM ST,"Hsu, Joyce",,,,,2013 - 2014,Three sculptures are sited in three different locations near elementary schools.  The sculptures  portray different migration birds in flight. 03:  Aki Kurose:  Crane.,,,SDOT,0,Y,,,,ST14.004.03: S Graham St and 42nd Ave. S,,,,,,,,0,,0,,ST14.004.03,,Flyways,0,0
,,,,2nd Ave between Virginia St & Lenora St,"Kiefer, Kurt H.",,3 insets,Seattle Office of Arts & Cultural Affairs,206-684-7171,1994-96,3 faux plank insets in sidewalk,,,SDOT,250,Y,,,,"East side of 2nd Ave, front of building just southeast of 2028 2nd Avenue",,Faux plank insets:  tinted concrete,Faux plank insets:  tinted concrete,,,,,0,,0,,ED96.030,,Street Treatment,1268216.11460745,226931.23727644
,,,,2nd Ave & Denny St,"Kiefer, Kurt H.",,"1 brackets, 1 sign on lightpole",Seattle Office of Arts & Cultural Affairs,206-684-7171,1994-96,"1 brackets, sign with the word ""Belltown"" on light pole",,,SDOT,259,Y,,,,West side of 2nd Ave at intersection of 2nd & Denny,,,,,,,,0,,0,,ED96.030,,Street Treatment,1265561.8481087,229346.34563087
,,,,Alaskan Way & Madison St,"Beyer, Richard",,1 sculpture,Seattle Office of Arts & Cultural Affairs,206-684-7171,1988,Sculpture of Ivar Haglund feeding seagulls,"5'8x4'9x3'11""",In the ROW?,SDOT,315,Y,,,,Pier 54,,"Bronze, aluminum","Bronze, aluminum",,,,,0,,0,,GCK88.008,,Ivar Feeding the Gulls,1269137.79409636,223871.86344927
,,,,2100 1st Ave,"Mackie, Jack; Simpson, Lewis ""Buster""",,1 bench,Seattle Office of Arts & Cultural Affairs,206-684-7171,1985-1991,1 long rectangular bench,,,SDOT,203,Y,,,,East side of 1st Ave near 2107,,,,,,,,0,,0,,CL86.045,,Street Treatment,1267852.56975996,226867.14926718
,,,,SW Barton St & 25th Ave SW,"de Lory, Peter",,4 signposts with sign images of flora,Seattle Office of Arts & Cultural Affairs,206-684-7171,2004,4 signposts with sign images of flora,,In the ROW?,SDOT,395,N,,,,Four artwork signposts within Westwood Village Shopping Center,,"Steel, porcelain enamel","Steel, porcelain enamel",,,,,0,,0,,SPU05.024,,Longfellow Creek Legacy Trail Way Finding Signs,1262093.77847315,193817.72863449
,,,,"Thornton Creek Water Quality Channel  NE 103rd St and 5th Ave NE  Seattle, WA  98125","Shaw, Benson",,3 sculptures,Seattle Office of Arts & Cultural Affairs,206-684-7171,2010,"Three Wiggle Post sculptures, between 25- and 35-feet tall, rise from the top surface of a seat wall.",,,SDOT,403,Y,,,,SW corner,,"Galvanized steel, aluminum cast urethane resin, confetti, glass acrylic, miscellaneous fasteners","Galvanized steel, aluminum cast urethane resin, confetti, glass acrylic, miscellaneous fasteners",,,,,0,,0,,SPU10.022,,SURGE:  WIGGLE POSTS vignette,1273607.15141294,260034.4928623
,,,,30th Ave NE & Lake City Way NE,"Sorey, Paul",,1 sculpture,Seattle Office of Arts & Cultural Affairs,206-684-7171,2006,A sculpture with curvilinear forms that suggest the form of a coffee pot.,"156""h x 216""w x 120""d",,SDOT,420,Y,,,,Southwest corner,,"Stainless steel, stone, glass, metal-halide lighting","Stainless steel, stone, glass, metal-halide lighting",,,,,0,,0,,ST06.063,,Coffee Pot Pergola,1280224.97695572,264919.2593313
,,,,S. Cloverdale St & 14th Ave S,"Fields, Gregory",,Pillar,Seattle Office of Arts & Cultural Affairs,206-684-7171,2009,8' pillar faced with handmade tiles,"Pillar: 10"" x 10"" x 8’ tall",,SDOT,425,Y,,,,,,Glazed ceramic tile,Glazed ceramic tile,,,,,0,,0,,ST09.099,,Convergence,1274394.38494974,195553.44601227
,,,,S. Director St & 14th Ave S,"Fields, Gregory",,Pillar,Seattle Office of Arts & Cultural Affairs,206-684-7171,2009,8' pillar faced with handmade tiles,"Pillar: 10"" x 10"" x 8’ tall",,SDOT,426,Y,,,,,,Glazed ceramic tile,Glazed ceramic tile,,,,,0,,0,,ST09.099,,Convergence,1274347.2333337,194019.1586507
,,,,BROADWAY AND YESLER WAY,"Fitch, Claudia",,,,,2013,1 Pole,,Three beaded poles near Broadway and Yesler Way (Yesler Terrace),SDOT,0,Y,,,,"Near Yesler Way & Broadway  Seattle, WA  98104",,,,,,,,0,,0,,ST13.068.01,,Beaded Poles,0,0
,,,,52ND AVE S AND DEAD END 4,"Michael, Yegisaw (Yeggy)",,,,,2014,"The artwork consists of more than 450 multi-colored inlayed concrete and stainless steel circles or “dots”, flowing between two sections of concrete pipes at the north and south end of the Mapes Creek walkway pa",,,SDOT,0,Y,,,,"52nd Ave walkway (Mapes Creek walkway) between S Fisher Pl. and S Henderson St.  Seattle, WA  98118",,,,,,,,0,,0,,SPU14.007,,Motion,0,0
,,,,Alki Ave SW & 54th Pl SW,"Feddersen, Joe; Fels, Donald; Smith, Jaune Quick-To-See",,1 viewing device,Seattle Office of Arts & Cultural Affairs,206-684-7171,1998,"1 stainless steel viewing device, stone/concrete inset in sidewalk on promenade",,,SDOT,341,N,,,,Near 54th and Alki,,,,,,,,0,,0,,PR99.046,,Viewers,1253282.01398413,216498.64667371
,,,,24th Ave SW between SW Elmgrove St and SW Thistle St,"de Lory, Peter",,1 signpost with sign images of flora,Seattle Office of Arts & Cultural Affairs,206-684-7171,2004,1 signpost with sign images of flora,,,SDOT,392,Y,,,,West side of the street,,"Steel, porcelain enamel","Steel, porcelain enamel",,,,,0,,0,,SPU05.024,,Longfellow Creek Legacy Trail Way Finding Signs,1262497.2655776,196785.85305357
,,,,Puget Blvd SW between 26th Ave SW and 28th Ave SW,"de Lory, Peter",,1 signpost with sign images of flora,Seattle Office of Arts & Cultural Affairs,206-684-7171,2004,1 signpost with sign images of flora,,,SDOT,399,Y,,,,South side of the street near intersection of Puget Blvd and 26th,,"Steel, porcelain enamel","Steel, porcelain enamel",,,,,0,,0,,SPU05.024,,Longfellow Creek Legacy Trail Way Finding Signs,1262249.43184935,206321.69856733
,,,,1801 WESTLAKE,"Beres, Ben; Sutton, John; Culler, Zac",,,,,2009,"The artwork is a subterranean sculpture of a neon double helix.  It is viewed from above througj a sandblasted glass manhole cover set in the sidewalk plane.  The sculpture consists of two spirals, one red and one b",,,SDOT,0,Y,,,,"South Lake Union Streetcar Route Westlake Hub  near  Stewart St & Westlake Ave Seattle, WA   98101",,,,,,,,0,,0,,ST09.120,,Sequence/Consequence,0,0
,,,,23rd Ave SW between SW Willow St and SW Myrtle St,"de Lory, Peter",,2 signposts with sign images of flora,Seattle Office of Arts & Cultural Affairs,206-684-7171,2004,2 signposts with sign images of flora,,,SDOT,376,Y,,,,Two artwork signposts on the west side of 23rd Ave SW between SW Willow St and SW Myrtle St,,"Steel, porcelain enamel","Steel, porcelain enamel",,,,,0,,0,,SPU05.024,,Longfellow Creek Legacy Trail Way Finding Signs,1262864.53776997,200886.28492977
